 -0.8629E+00 -0.4829E+01 -0.2729E+01  0.1677E+01
 -0.1243E+01 -0.4967E+01 -0.2860E+01  0.1737E+01
 -0.1617E+01 -0.5070E+01 -0.3004E+01  0.1797E+01
 -0.1986E+01 -0.5131E+01 -0.3151E+01  0.1850E+01
 -0.2338E+01 -0.5153E+01 -0.3323E+01  0.1907E+01
 -0.2668E+01 -0.5133E+01 -0.3492E+01  0.1956E+01
 -0.2993E+01 -0.5075E+01 -0.3661E+01  0.1997E+01
 -0.3271E+01 -0.4957E+01 -0.3833E+01  0.2031E+01
 -0.3540E+01 -0.4819E+01 -0.4004E+01  0.2058E+01
 -0.3776E+01 -0.4644E+01 -0.4163E+01  0.2073E+01
 -0.3999E+01 -0.4456E+01 -0.4312E+01  0.2079E+01
 -0.4147E+01 -0.4213E+01 -0.4442E+01  0.2071E+01
 -0.4243E+01 -0.3945E+01 -0.4549E+01  0.2050E+01
 -0.4295E+01 -0.3664E+01 -0.4623E+01  0.2013E+01
 -0.4280E+01 -0.3366E+01 -0.4663E+01  0.1962E+01
 -0.4192E+01 -0.3051E+01 -0.4661E+01  0.1896E+01
 -0.4050E+01 -0.2739E+01 -0.4609E+01  0.1813E+01
 -0.3835E+01 -0.2423E+01 -0.4501E+01  0.1715E+01
 -0.3557E+01 -0.2113E+01 -0.4335E+01  0.1604E+01
 -0.3216E+01 -0.1810E+01 -0.4106E+01  0.1479E+01
 -0.2824E+01 -0.1521E+01 -0.3818E+01  0.1346E+01
 -0.2393E+01 -0.1250E+01 -0.3473E+01  0.1207E+01
 -0.1945E+01 -0.1006E+01 -0.3083E+01  0.1068E+01
 -0.1509E+01 -0.7927E+00 -0.2675E+01  0.9367E+00
 -0.1160E+01 -0.6299E+00 -0.2311E+01  0.8249E+00
 -0.2175E+02 -0.3181E+02 -0.3367E+01  0.9374E+00 -0.3668E+02 -0.4674E+02
 -0.1673E+02 -0.2631E+02 -0.3260E+01  0.9300E+00 -0.3167E+02 -0.4125E+02
 -0.1253E+02 -0.2159E+02 -0.3154E+01  0.9245E+00 -0.2735E+02 -0.3641E+02
 -0.8537E+01 -0.1719E+02 -0.3054E+01  0.9203E+00 -0.2349E+02 -0.3214E+02
 -0.5339E+01 -0.1360E+02 -0.2955E+01  0.9207E+00 -0.2027E+02 -0.2853E+02
 -0.2616E+01 -0.1053E+02 -0.2864E+01  0.9246E+00 -0.1758E+02 -0.2550E+02
 -0.2958E+00 -0.7896E+01 -0.2669E+01  0.8828E+00 -0.1520E+02 -0.2280E+02
  0.1648E+01 -0.5667E+01 -0.2584E+01  0.8889E+00 -0.1328E+02 -0.2059E+02
  0.3282E+01 -0.3780E+01 -0.2508E+01  0.9012E+00 -0.1165E+02 -0.1871E+02
  0.4581E+01 -0.2213E+01 -0.2431E+01  0.9062E+00 -0.1032E+02 -0.1715E+02
  0.5824E+01 -0.8051E+00 -0.2363E+01  0.9278E+00 -0.9116E+01 -0.1574E+02
  0.6690E+01  0.2595E+00 -0.2308E+01  0.9492E+00 -0.8249E+01 -0.1468E+02
  0.7358E+01  0.1102E+01 -0.2261E+01  0.9734E+00 -0.7576E+01 -0.1383E+02
  0.7854E+01  0.1753E+01 -0.2213E+01  0.9960E+00 -0.7083E+01 -0.1318E+02
  0.8205E+01  0.2265E+01 -0.2197E+01  0.1028E+01 -0.6726E+01 -0.1267E+02
  0.8408E+01  0.2614E+01 -0.2159E+01  0.1058E+01 -0.6505E+01 -0.1230E+02
  0.8562E+01  0.2902E+01 -0.2146E+01  0.1095E+01 -0.6371E+01 -0.1203E+02
  0.8581E+01  0.3057E+01 -0.2139E+01  0.1132E+01 -0.6352E+01 -0.1188E+02
  0.8500E+01  0.3145E+01 -0.2152E+01  0.1175E+01 -0.6399E+01 -0.1179E+02
  0.8429E+01  0.3176E+01 -0.2166E+01  0.1218E+01 -0.6503E+01 -0.1176E+02
  0.8261E+01  0.3150E+01 -0.2197E+01  0.1266E+01 -0.6672E+01 -0.1178E+02
  0.8002E+01  0.3063E+01 -0.2240E+01  0.1314E+01 -0.6890E+01 -0.1185E+02
  0.7757E+01  0.2961E+01 -0.2290E+01  0.1363E+01 -0.7176E+01 -0.1197E+02
  0.7433E+01  0.2814E+01 -0.2359E+01  0.1418E+01 -0.7446E+01 -0.1207E+02
  0.7187E+01  0.2753E+01 -0.2435E+01  0.1469E+01 -0.7740E+01 -0.1217E+02
  0.6891E+01  0.2664E+01 -0.2526E+01  0.1523E+01 -0.8041E+01 -0.1227E+02
  0.6569E+01  0.2567E+01 -0.2719E+01  0.1622E+01 -0.8355E+01 -0.1236E+02
  0.6222E+01  0.2448E+01 -0.2829E+01  0.1674E+01 -0.8702E+01 -0.1246E+02
  0.5844E+01  0.2405E+01 -0.2955E+01  0.1727E+01 -0.9046E+01 -0.1253E+02
  0.5562E+01  0.2366E+01 -0.3081E+01  0.1775E+01 -0.9372E+01 -0.1257E+02
  0.5230E+01  0.2345E+01 -0.3224E+01  0.1823E+01 -0.9703E+01 -0.1259E+02
  0.4905E+01  0.2352E+01 -0.3368E+01  0.1865E+01 -0.1001E+02 -0.1256E+02
  0.4600E+01  0.2393E+01 -0.3519E+01  0.1904E+01 -0.1033E+02 -0.1254E+02
  0.4194E+01  0.2350E+01 -0.3668E+01  0.1936E+01 -0.1074E+02 -0.1258E+02
  0.3951E+01  0.2468E+01 -0.3812E+01  0.1961E+01 -0.1098E+02 -0.1246E+02
  0.3717E+01  0.2603E+01 -0.3951E+01  0.1978E+01 -0.1121E+02 -0.1233E+02
  0.3521E+01  0.2763E+01 -0.4080E+01  0.1986E+01 -0.1142E+02 -0.1217E+02
  0.3355E+01  0.2944E+01 -0.4197E+01  0.1984E+01 -0.1157E+02 -0.1198E+02
  0.3216E+01  0.3140E+01 -0.4298E+01  0.1973E+01 -0.1172E+02 -0.1179E+02
  0.3130E+01  0.3359E+01 -0.4375E+01  0.1951E+01 -0.1180E+02 -0.1157E+02
  0.3093E+01  0.3595E+01 -0.4429E+01  0.1918E+01 -0.1184E+02 -0.1134E+02
  0.3100E+01  0.3843E+01 -0.4455E+01  0.1874E+01 -0.1183E+02 -0.1109E+02
  0.3153E+01  0.4097E+01 -0.4446E+01  0.1817E+01 -0.1177E+02 -0.1082E+02
  0.3289E+01  0.4388E+01 -0.4405E+01  0.1751E+01 -0.1164E+02 -0.1055E+02
